episode,timestep,raw_reward
1,70,-1021.8159475985991
2,147,-1018.937496915427
3,198,-1018.8409443286384
4,256,-1018.5829852879123
5,314,-1018.3438566103177
6,388,-1017.9591982127854
7,442,-1019.2515594311519
8,528,-1017.8353905452481
9,609,-1018.5719984187689
10,674,-1017.9419083226466
11,723,-1017.9479728510181
12,812,-1017.9703882060428
13,865,-1018.6198044420044
14,1082,-1032.4236500482964
15,1155,-1017.3210912335325
16,1229,-1018.9445843061611
17,1308,-1018.1592443199054
18,1375,-1018.6789092822997
19,1457,-1018.1896333936033
20,1513,-1018.6521507691929
21,1585,-1018.313538813601
22,1767,-1034.0609098810185
23,1821,-1018.1783432770235
24,1883,-1019.1356098977751
25,1962,-1018.6191713579642
26,2039,-1017.6499134664449
27,2114,-1018.0505448122685
28,2189,-1018.7565965565174
29,2370,-1031.3137647159608
30,2452,-1018.1106369098216
31,2623,-1022.7466752884433
32,2888,-1030.5906970298438
33,2961,-1018.6585211697316
34,3046,-1017.9604226964011
35,3148,-1017.9396504750545
36,3270,-1020.0138893162155
37,3376,-1019.5640699138888
38,3440,-1019.0986781640123
39,3560,-1019.6868347829188
40,3618,-1018.050021388412
41,3759,-1020.9217882537833
42,3832,-1019.4423306788834
43,3888,-1018.1648636404979
44,3970,-1018.3597943373474
45,4125,-1019.9826448032843
46,4202,-1018.6574921139584
47,4255,-1017.2608205685965
48,4373,-1019.637639952919
49,4517,-1021.768816766624
50,4746,-1024.6721204065943
51,5144,-1030.01330211526
52,5263,-1019.5683924218645
53,5384,-1020.9233286304406
54,5496,-1020.5438760005865
55,5629,-1020.0513879158966
56,5711,-1017.9870745216302
57,5888,-1025.6074687471514
58,5971,-1019.5088210537704
59,6029,-1019.5254535560886
60,6163,-1020.2545600633374
61,6218,-1018.8172071332564
62,6333,-1019.2241323438822
63,6447,-1019.375058818379
64,6619,-1020.9008042308244
65,6915,-1029.5818088500882
66,7121,-1032.4478522174131
67,7240,-1020.4869210347777
68,7327,-1017.8276597525482
69,7390,-1018.5543227866218
70,7492,-1018.7011450537537
71,7663,-1032.8423531763349
72,7773,-1028.0029999535316
73,8016,-1030.298998656311
74,8084,-1020.2103272540068
75,8172,-1017.7018374727427
76,8313,-1021.1127835837118
77,8416,-1019.4357720685289
78,8562,-1021.280833684198
79,8700,-1020.6499931013037
80,8831,-1021.1209230173398
81,8941,-1018.4485017246172
82,9038,-1018.2090850814564
83,9199,-1021.0895223296905
84,9333,-1020.8046738863197
85,9494,-1020.4703067422491
86,9636,-1031.2646643573603
87,9755,-1020.1438663458135
88,9951,-1025.5590895215298
89,10115,-1022.4537423019212
90,10278,-1029.4313517321395
91,10453,-1022.2830379922638
92,10585,-1020.9778823386582
93,10707,-1020.9262918165465
94,10883,-1024.491750815772
95,10991,-1018.9232703546795
96,11104,-1019.8989309623523
97,11210,-1019.848908143077
98,11357,-1021.629079807063
99,11511,-1021.5935784442996
100,11646,-1019.0821760302829
101,11794,-1023.3685950982801
102,11908,-1019.0241649073314
103,12061,-1022.8515881487523
104,12288,-1027.8447120177816
105,12471,-1029.9968999456605
106,12675,-1025.9008673934582
107,12973,-1022.0955966030818
108,13274,-1028.3548022431307
109,13438,-1020.9864848807001
110,13590,-1030.6880167526206
111,13752,-1023.0189970472379
112,13860,-1020.2865051771906
113,14121,-1029.9174611798694
114,14532,-1025.6567632213003
115,15032,-14.378271872745737
116,15156,-1022.044909754181
117,15399,-1024.8380474170895
118,15566,-1034.5602448765778
119,15755,-1021.7501300961101
120,15902,-1028.3976369763327
121,16078,-1031.7238540342728
122,16578,-7.000909042368246
123,16928,-1025.2040658901342
124,17110,-1033.2524959607292
125,17282,-1034.1040671289768
126,17782,-17.197741550878224
127,18007,-1028.0709028151698
128,18322,-1040.776849557532
129,18822,-3.864364210925473
130,19322,-6.23226347115918
131,19686,-1028.1917711851547
132,20186,-9.872552582354544
133,20686,-4.7398331692283655
134,21186,-6.365226805329482
135,21419,-1026.3306583444921
136,21919,-5.093512183261073
137,22419,-4.020516386944673
138,22919,-6.789113084305486
139,23419,-7.535502325372288
140,23919,-5.581189237009253
141,24419,-4.220784670420629
142,24919,-3.191174858776289
143,25419,-4.193311652340668
144,25919,-3.7360592311633356
145,26419,-2.620462065294391
146,26919,-3.13940911133368
147,27419,-2.140071617052009
148,27919,-1.8379586125174887
