episode,timestep,raw_reward
1,60,-4803.740421389228
2,94,-3821.606222825096
3,142,-4093.170792311565
4,221,-5005.034484470501
5,279,-3875.866322119994
6,314,-3511.29979441204
7,575,-7772.375327719216
8,589,-2499.3877510033017
9,601,-2406.7722548670927
10,683,-5097.359104368405
11,732,-5772.667454719159
12,791,-4478.348735416395
13,833,-3833.4490556202295
14,846,-2431.7241163384924
15,913,-3492.7652879970374
16,1028,-3433.7166644370163
17,1123,-2841.453190628985
18,1148,-3379.6935972880183
19,1170,-3095.430485520196
20,1196,-3644.6680574093334
21,1209,-2540.9642455136536
22,1244,-4273.07936622851
23,1288,-3577.6047283711396
24,1317,-3733.8201410874335
25,1416,-3322.9940514141967
26,1458,-4158.299209117548
27,1548,-3585.3631060682455
28,1561,-2489.4282678104673
29,1623,-4861.373475480046
30,1686,-4241.294874620406
31,1826,-3287.972526046883
