episode,timestep,raw_reward
1,167,-1020.4385089200046
2,252,-1019.5234530531261
3,361,-1020.3929084955528
4,488,-1023.3176779869934
5,627,-1019.895735540249
6,816,-1030.0856952832728
7,931,-1020.1882395203949
8,1101,-1033.2340288850212
9,1173,-1021.846062093655
10,1302,-1020.6249063131529
11,1494,-1043.8087282364877
12,1640,-1021.88053218096
13,1827,-1022.4514358757972
14,2327,-24.69325572715877
15,2562,-1067.2935057947604
16,2648,-1023.258391314459
17,2858,-1041.4408309044732
18,3026,-1031.2318527550428
19,3168,-1026.5918693083063
20,3250,-1022.5324154402983
21,3446,-1063.6912804785607
22,3672,-1040.260327203883
23,3895,-1049.6135566434268
