episode,timestep,raw_reward
1,70,-1194.9957303948768
2,147,-1153.8315418810698
3,198,-1159.025018388372
4,256,-1153.7777430569113
5,314,-1147.4548841669384
6,388,-1135.0972090118437
7,442,-1164.2335462665062
8,528,-1132.4488239832149
9,609,-1142.7164202791148
10,674,-1140.513436776856
11,723,-1143.773718275673
12,812,-1133.425821225023
13,865,-1154.8687748802804
14,1082,-1297.1084869806195
15,1155,-1127.5681001756127
16,1229,-1155.642948690345
17,1308,-1132.4695156129792
18,1375,-1148.2983260009587
19,1457,-1134.1017943847778
20,1513,-1155.9249416944604
21,1585,-1145.3127331660921
22,1767,-1318.2209538279167
23,1821,-1147.6795275216166
24,1883,-1161.152401192559
25,1962,-1144.3133041121089
26,2040,-1135.5523027892427
27,2105,-1138.1354547368862
28,2176,-1131.7690980441573
29,2375,-1202.4819545309213
30,2451,-1144.4752260522937
31,2515,-1139.9165903291625
32,2685,-1325.1055056573214
33,2743,-1133.6556845916273
34,2828,-1135.0543015502417
35,2916,-1134.5278783025258
36,3040,-1154.6522933439412
37,3114,-1153.1370866837228
38,3262,-1174.2791549947053
39,3382,-1147.2856714258523
40,3440,-1151.535714263073
41,3561,-1150.473526790218
42,3617,-1143.1173136839539
43,3688,-1169.0110398135978
44,3787,-1133.1308323276448
45,3860,-1137.2384140840713
46,3919,-1140.309759102096
47,4069,-1179.4395763844725
48,4190,-1139.2874176613882
49,4257,-1132.907161741301
50,4422,-1185.6100657729546
51,4479,-1155.270596501787
52,4540,-1130.3560445778714
53,4680,-1166.2234457324275
54,4782,-1140.2976478667892
55,4878,-1150.942722387369
56,4994,-1142.3434680715632
57,5054,-1172.1629104799883
58,5132,-1148.4246462772262
59,5366,-1286.1602192960543
60,5530,-1173.4806183073247
61,5586,-1159.6067744852305
62,5726,-1147.5627975351324
63,5822,-1136.9635375336047
64,5977,-1165.3808507047188
65,6123,-1320.2867418083545
66,6180,-1151.0169716360424
67,6318,-1235.0039218208271
68,6433,-1133.9951716673938
69,6599,-1269.7333536674164
70,6721,-1138.076200437202
71,6862,-1261.3901775309655
72,6987,-1280.0028118543619
73,7052,-1140.0814159452912
74,7237,-1180.705353163953
75,7326,-1132.7606190589731
76,7604,-1229.5759951849504
77,7697,-1133.899512404001
78,7845,-1243.0987813697177
79,8038,-1157.3617232360352
80,8242,-1210.955586650528
81,8327,-1131.8557775065915
82,8419,-1135.7831748272574
83,8622,-1205.9794671115746
84,8757,-1164.469081762675
85,8883,-1154.304848832822
86,9023,-1278.4426786929241
87,9158,-1163.5962824604978
88,9356,-1306.439248406079
89,9510,-1167.546801420677
90,9570,-1169.5982803157149
91,9741,-1195.0468515522543
92,9841,-1140.4910328141239
93,9967,-1140.4869617277345
94,10078,-1360.1938802045188
95,10211,-1151.182994025264
96,10469,-1154.9936292727148
97,10593,-1154.3228658186617
98,10710,-1145.5741786194203
99,10849,-1171.6466582099515
100,10982,-1158.2953392677343
101,11079,-1135.230031209525
102,11200,-1145.4731724045255
103,11344,-1157.1764337705426
104,11600,-1238.8375356820063
105,11707,-1284.3578001642477
106,11853,-1176.5912295913663
107,12164,-1138.1792485773374
108,12340,-1325.9222152433742
109,12492,-1318.6735344199915
110,12689,-1301.5930359935442
111,12815,-1150.5498888989223
112,13120,-1161.7787441459004
113,13264,-1248.3415210817234
114,13366,-1149.1914899230899
115,13476,-1235.2104848058757
116,13678,-1305.781920049771
117,13792,-1146.8169411493168
118,13906,-1269.1772740270583
119,14276,-1176.751067417633
120,14654,-1264.3872391535656
121,14842,-1173.4071583447756
122,15003,-1329.779707320907
123,15173,-1325.9165485848903
124,15278,-1311.6649354702158
125,15393,-1292.4034776160881
126,15549,-1298.0497093193462
127,15790,-1147.9125769287552
128,15919,-1251.8305706320389
129,16330,-1163.7653295368432
130,16608,-1194.1755800654448
131,16737,-1156.619901210302
132,16950,-1218.4813392529545
133,17087,-1156.292952282101
134,17187,-1142.8246062607884
135,17348,-1208.5961044391163
136,17512,-1195.318708844575
137,18012,-6.407037866239326
138,18512,-210.6954045732444
139,19012,-61.21629899631239
140,19302,-1349.9626667089174
141,19512,-1297.425892898825
142,19615,-1261.7644422412618
143,20115,-15.152066472381852
144,20260,-1192.6620755698175
145,20528,-1280.1765376948117
146,20746,-1325.7170077965811
147,21186,-1271.0782245500775
148,21469,-1276.8131899049
149,21693,-1282.3273391058879
150,21890,-1226.346181157643
