episode,timestep,reward
16,1000,-1003.4536
29,2000,-1004.1264
37,3000,-1003.5866
46,4000,-1005.1517
51,5000,-1005.2984
56,6000,-1004.4606
66,7000,-1004.1301
77,8000,-1003.774
80,9000,-1006.1648
86,10000,-1006.2444
92,11000,-1004.7889
99,12000,-1004.8979
105,13000,-838.4053
108,14000,-1007.1893
113,15000,-607.0526
117,16000,-755.7541
121,17000,-1008.9601
125,18000,-756.2118
127,19000,-4.4914
130,20000,-673.3593
132,21000,-4.4373
134,22000,-3.8818
136,23000,-2.5
138,24000,-2.5788
140,25000,-2.2766
142,26000,-505.2872
146,27000,-505.5145
150,28000,-756.3575
152,29000,-504.6672
154,30000,-2.1845
157,31000,-338.2919
159,32000,-2.7866
161,33000,-504.1423
163,34000,-3.5066
167,35000,-757.1666
169,36000,-505.637
171,37000,-1.8876
173,38000,-0.6427
176,39000,-335.39
179,40000,-338.7937
181,41000,-0.345
183,42000,-506.6529
185,43000,-508.9208
187,44000,-4.4724
189,45000,-5.7531
191,46000,-3.829
195,47000,-504.9436
197,48000,-3.2592
199,49000,-0.9626
201,50000,-2.3499
203,51000,-3.9297
205,52000,-0.5132
207,53000,-1.5112
210,54000,-337.779
212,55000,-505.2684
214,56000,-1.7789
216,57000,-1.7248
218,58000,-0.8505
222,59000,-505.1324
225,60000,-336.5504
227,61000,-505.8006
230,62000,-337.4909
232,63000,-0.8166
234,64000,-1.2039
236,65000,-0.776
238,66000,-1.4352
240,67000,-1.4074
242,68000,-504.5095
244,69000,-0.9619
246,70000,-1.8088
248,71000,-1.0368
250,72000,-0.8899
255,73000,-806.5039
257,74000,-0.8706
260,75000,-336.9597
262,76000,-0.3416
265,77000,-337.0123
267,78000,-504.7095
269,79000,-1.099
274,80000,-606.0321
278,81000,-757.546
280,82000,-504.9339
282,83000,-2.2477
284,84000,-1.052
287,85000,-337.6477
289,86000,-1.4822
291,87000,-1.4103
293,88000,-1.5534
295,89000,-0.8345
299,90000,-505.0863
302,91000,-1009.4806
304,92000,-0.4864
306,93000,-0.5689
308,94000,-0.1349
310,95000,-1.3817
312,96000,-1.6312
314,97000,-0.1205
316,98000,-1.3225
318,99000,-1.6123
320,100000,-506.4227
322,101000,-0.3105
324,102000,-0.4266
326,103000,-0.884
328,104000,-2.1981
330,105000,-0.8286
332,106000,-1.5944
334,107000,-1.3525
336,108000,-2.8001
338,109000,-0.9923
340,110000,-1.3218
342,111000,-0.7685
344,112000,-0.6784
346,113000,-2.0054
348,114000,-1.2388
350,115000,-3.2663
352,116000,-1.2887
354,117000,-1.4905
356,118000,-2.079
358,119000,-0.5471
362,120000,-506.5723
364,121000,-1.6968
366,122000,-504.9722
369,123000,-338.9391
371,124000,-3.5187
373,125000,-1.7811
375,126000,-1.4726
378,127000,-672.8644
380,128000,-1.7533
383,129000,-674.2147
387,130000,-506.8311
389,131000,-1.1458
391,132000,-0.576
393,133000,-0.9028
396,134000,-673.7629
398,135000,-0.7444
400,136000,-0.118
402,137000,-505.6244
405,138000,-673.3422
407,139000,-1.0572
409,140000,-1.4157
411,141000,-0.0239
413,142000,-0.6266
415,143000,-0.5703
417,144000,-0.5251
419,145000,-0.1562
423,146000,-503.6143
426,147000,-336.7971
429,148000,-673.2633
431,149000,-0.5958
433,150000,-1.8178
435,151000,-2.2171
437,152000,-1.6705
439,153000,-1.4315
441,154000,-1.1509
443,155000,-3.9819
445,156000,-0.206
450,157000,-807.5049
453,158000,-334.3479
456,159000,-337.3593
458,160000,-504.8132
461,161000,-338.8878
463,162000,-1.2411
465,163000,-505.5298
467,164000,-1.0981
470,165000,-338.1484
473,166000,-338.8507
475,167000,-508.5328
479,168000,-505.6894
481,169000,-0.7444
483,170000,-0.5688
485,171000,-0.5904
488,172000,-337.6669
490,173000,-507.5189
493,174000,-336.9888
495,175000,-1.6444
497,176000,-1.3833
499,177000,-1.4631
501,178000,-1.289
504,179000,-337.8014
506,180000,-506.1094
508,181000,-2.3707
510,182000,-1.1792
512,183000,-0.6033
515,184000,-338.6812
517,185000,-1.8333
519,186000,-1.9863
521,187000,-506.3973
524,188000,-336.8789
526,189000,-0.6806
529,190000,-337.97
531,191000,-0.7193
533,192000,-1.8683
535,193000,-0.8331
537,194000,-1.1015
539,195000,-3.0855
541,196000,-505.7612
543,197000,-2.7019
546,198000,-338.135
548,199000,-507.3594
551,200000,-338.3306
