episode,timestep,raw_reward
1,68,-1034.516284644293
2,153,-1022.2855775836726
3,207,-1033.4986546396185
4,266,-1030.4560913197677
5,339,-1036.5435189743496
6,416,-1035.3861742972563
7,481,-1029.2778025302284
8,525,-1033.5138990649482
9,604,-1034.1892086336397
10,693,-1033.2042079472724
11,743,-1035.5842313064522
12,806,-1036.4714461430567
13,905,-1029.8145022511922
14,959,-1034.2636519354871
15,1057,-1030.0692311625176
16,1091,-1031.8384799748085
17,1108,-1017.4709578692209
18,1157,-1031.169474206174
19,1179,-1022.7534369995775
20,1297,-1026.133709399011
21,1351,-1033.8362711276113
22,1450,-1031.9850726037432
23,1509,-1033.2591506719853
24,1618,-1031.5108508784213
25,1722,-1027.41066070089
26,1770,-1034.459124507229
27,1850,-1025.1080011681877
28,1976,-1031.8698444554093
29,2063,-1031.812438641707
30,2142,-1034.0096845882217
31,2203,-1034.5705358580167
32,2290,-1029.8972464934182
33,2331,-1029.6123659443642
34,2392,-1032.8800675062807
35,2446,-1033.4354846272547
36,2500,-1028.4412652484834
37,2525,-1023.9094327427272
38,2576,-1034.8606483780247
39,2672,-1031.2425603641434
40,2712,-1032.152267720637
41,2722,-1011.7153200035924
42,2780,-1033.2647651473715
43,2805,-1026.2462309296368
44,2876,-1033.7095051549131
45,2928,-1033.5068265251234
46,2982,-1032.1268531086714
47,3047,-1031.4358215438372
48,3082,-1031.4687577889438
49,3136,-1033.4708613628852
50,3157,-1023.8430994271831
51,3209,-1033.1511566370289
52,3338,-1026.7766133241203
53,3400,-1031.586496995752
54,3424,-1024.5064670130778
55,3500,-1035.7216972752392
56,3645,-1031.5985553120477
57,3728,-1032.713074937437
58,3854,-1030.7288183027963
59,3856,-1002.4398021119403
60,3871,-1017.5445218544747
61,3903,-1030.0601175117863
62,3951,-1031.292420934303
63,3986,-1030.6898725640228
64,4085,-1031.426436023785
65,4171,-1035.7757534465175
66,4228,-1035.0687514671808
67,4303,-1035.7256818999087
68,4429,-1031.1184603747786
69,4440,-1013.0407834500238
70,4507,-1033.7400470492378
71,4567,-1033.2935783289836
72,4645,-1030.1748296621863
73,4732,-1033.0065217988363
74,4799,-1032.364534190736
75,4824,-1024.32275769199
76,4862,-1031.7861290012688
77,4934,-1031.924149092431
78,5073,-1031.2134350238719
79,5108,-1032.8770637378086
80,5192,-1032.653109705917
81,5246,-1036.3206870498564
82,5409,-1031.5493696044114
83,5450,-1032.885781269914
84,5523,-1030.3009874715347
85,5583,-1033.9041794391605
86,5652,-1033.7957811892306
87,5723,-1032.7578553066678
88,5781,-1036.9084786923213
89,5789,-1009.4484595067223
90,5894,-1030.1461118761551
91,5971,-1031.5496716562131
92,6104,-1031.6008328542182
93,6142,-1032.9984838274584
94,6189,-1034.8470881846697
95,6283,-1031.998907262633
96,6346,-1032.1530082606198
97,6392,-1033.1711141261214
98,6433,-1033.3294565979336
99,6548,-1030.1164158070203
100,6572,-1024.9527268512268
101,6603,-1028.70888474719
102,6714,-1033.0620634139711
103,6738,-1025.2799906447005
104,6775,-1031.4310415035598
105,6801,-1024.848552427202
106,6866,-1037.5753244021444
107,6956,-1030.4218547583766
108,6979,-1024.725818099402
109,7026,-1032.7420845468782
110,7100,-1032.1907996989353
111,7187,-1030.4248427780717
112,7204,-1018.778041494094
113,7268,-1036.9282638880431
114,7323,-1035.0118141277758
115,7372,-1033.763646674295
116,7394,-1021.7363817577838
117,7446,-1036.7693110862988
118,7558,-1032.7904338864437
119,7612,-1037.0922248103905
120,7672,-1033.0338706724033
121,7736,-1034.4880116924953
122,7775,-1032.425990836576
123,7871,-1033.6699084969969
124,7973,-1028.9649441737527
125,8092,-1033.7465431436317
126,8180,-1032.4931402957332
127,8360,-1030.8668419654282
128,8409,-1036.6572836876314
129,8488,-1033.7608657125643
130,8586,-1034.0201203517097
131,8752,-1030.3653028149365
132,8838,-1032.0218482163357
133,8935,-1032.5325997324908
134,9007,-1027.1605443240007
135,9066,-1034.4300104565225
136,9124,-1036.7025996462787
137,9147,-1023.1873140809057
138,9152,-1006.0289776424562
139,9275,-1033.9462991347318
140,9371,-1031.715927152129
141,9418,-1035.1405456860189
142,9521,-1033.0222730055646
143,9551,-1029.6733785188014
144,9644,-1033.8571903918792
145,9681,-1031.971378715403
146,9725,-1033.050269792979
147,9760,-1032.4176060092168
148,9981,-1032.912672248097
149,10110,-1031.831143159447
150,10159,-1037.6478226925337
151,10322,-1033.2754967298674
152,10513,-1031.7444302020867
153,10592,-1035.3830474111699
154,10646,-1036.353233182242
155,10852,-1032.2485591544432
156,11018,-1031.0958935778892
157,11214,-1029.3744505717368
158,11289,-1035.714668537017
159,11334,-1034.2328914664295
160,11443,-1033.354017252269
161,11467,-1024.8585718692173
162,11542,-1035.936514753215
163,11593,-1036.0033761081397
164,11687,-1035.1138554231215
165,11740,-1037.0682204835186
166,11753,-1015.0454985572757
167,11827,-1036.9771781339487
168,11934,-1033.2642775223005
169,12005,-1036.5779060562174
170,12080,-1037.09647955556
171,12146,-1037.792007229895
172,12214,-1042.6151902607605
173,12418,-1035.1854659187134
174,12544,-1032.9146712880793
175,12615,-1036.3140933486486
176,12665,-1038.761389755287
177,12698,-1030.1349467319787
178,12737,-1033.4385726111173
179,12807,-1039.8029496123647
180,12821,-1016.3503677187962
181,12908,-1035.4095232411212
182,12973,-1037.173847715326
183,13013,-1033.8825785283777
184,13039,-1026.1473956697428
185,13114,-1036.9194138479072
186,13145,-1029.7314429670823
187,13221,-1039.3502949143528
188,13264,-1035.2309974739312
189,13495,-1026.6812372350482
190,13717,-1031.894110521107
191,13732,-1017.0650964897628
192,13889,-1032.628878588377
193,13936,-1035.0522070327577
194,14034,-1035.4335730737635
195,14145,-1031.7796501905698
196,14225,-1036.3187279030367
197,14247,-1024.4972015828534
198,14306,-1036.9228847717436
199,14329,-1024.734939285618
200,14373,-1035.405333373618
201,14437,-1036.690978936639
202,14502,-1038.4875956811545
203,14626,-1033.5585578422556
204,14965,-1031.293270557907
205,15041,-1035.7618603609792
206,15094,-1036.13115690204
207,15123,-1029.7311612928263
208,15169,-1035.8088714698558
209,15200,-1030.5317114444847
210,15220,-1022.5454360145965
211,15233,-1014.8695138324136
212,15263,-1027.8570006819825
213,15405,-1033.187390163879
214,15493,-1036.977983769838
215,15615,-1034.9178031268707
216,15632,-1017.8639669895833
217,15668,-1033.3193803378272
218,15750,-1036.0227918635258
219,15811,-1039.205946501395
220,15844,-1030.6348067802778
221,15874,-1028.4926516203848
222,15995,-1034.4145834569827
223,16038,-1035.2820907370028
224,16073,-1033.0396858851036
225,16274,-1031.9772158680682
226,16455,-1033.1751882872263
227,16530,-1037.5425707378192
228,16651,-1034.8979185700018
229,16680,-1029.9758308876585
230,16724,-1035.7754449685283
231,16768,-1036.5471599283371
232,16809,-1035.2241502071092
233,16904,-1038.1700004635668
234,17029,-1033.0817128762014
235,17085,-1038.8368141102835
236,17170,-1038.5172951769248
237,17186,-1018.0175896004255
238,17237,-1037.531900489055
239,17322,-1039.0066642466581
240,17350,-1027.9415358436381
241,17432,-1037.3347475433898
242,17561,-1034.109638458312
243,17599,-1034.176356821506
244,17667,-1038.0140134855162
245,17777,-1034.0222655325927
246,17824,-1037.1826627880473
247,17836,-1014.3207556240249
248,17937,-1034.605459947138
249,17975,-1035.0580413079726
250,18020,-1038.0742148773952
251,18210,-1033.4273732117629
252,18243,-1032.1699737225758
253,18314,-1039.053813628552
254,18513,-1032.1696520074718
255,18580,-1038.95060040464
256,18684,-1038.0265137937504
257,18815,-1034.5122310805937
258,19086,-1031.2451180238518
259,19212,-1032.802098377072
260,19297,-1038.0591766317252
261,19352,-1038.7368735581415
262,19559,-1032.233986728587
263,19603,-1035.878553859498
264,19777,-1032.4398514242675
265,19919,-1033.3377069187939
266,19967,-1038.4663264204305
267,19997,-1030.9606478629246
268,20006,-1010.728744296195
269,20060,-1038.6565569178422
270,20134,-1038.9272994726227
271,20376,-1032.9145153922036
272,20442,-1040.7310786566266
273,20587,-1036.3269965892273
274,20658,-1039.2995588378756
275,20717,-1039.3403373243448
276,20751,-1032.2837049313732
277,20849,-1036.7999734115058
278,20859,-1011.9858695113581
279,20874,-1018.0142926860593
280,20912,-1035.9957880038064
281,20963,-1039.6230874806436
282,21010,-1038.404851131664
283,21039,-1029.6201422341965
284,21055,-1018.4027370855681
285,21092,-1035.8823835448684
286,21148,-1039.298624566497
287,21370,-1033.6088760441753
288,21426,-1038.627526870923
289,21521,-1038.1520411994234
290,21664,-1033.5531800372628
291,21691,-1028.503182355346
292,21728,-1034.953357565544
293,21803,-1039.747239438065
294,21876,-1037.1224732126573
295,21951,-1041.044616647958
296,22065,-1036.978745739739
297,22148,-1037.5805402290637
298,22227,-1037.4773166396292
299,22727,-0.10077274871669532
300,22757,-1030.9792938979856
301,23257,-0.10728035860400281
302,23350,-1038.8802475632262
303,23656,-1032.1723091266128
304,23797,-1034.8693852557494
305,23815,-1020.6135791016954
306,23907,-1037.0886149136438
307,23954,-1038.8063796132471
308,24147,-1032.5580045733652
309,24268,-1035.867134174432
310,24298,-1030.6531509616934
311,24326,-1029.4398420046384
312,24439,-1036.4404409045223
313,24456,-1019.8427539008176
314,24509,-1038.688919531883
315,24580,-1038.5203858925274
316,24671,-1038.8278698078389
317,24769,-1037.2832728927579
318,24791,-1024.951049376693
319,24842,-1038.7949788608566
320,24911,-1038.1981208254806
321,25411,-0.1306573827306679
322,25535,-1035.5844402649652
323,25555,-1022.6142193517347
324,25623,-1039.7608237721827
325,25719,-1037.0584352306764
326,26219,-0.10578414216345015
327,26339,-1034.8705187066994
328,26460,-1035.5037265705794
329,26607,-1034.3274823867773
330,26708,-1038.470647853866
331,26855,-1034.864356327391
332,27077,-1032.1647654663598
333,27285,-1031.5791754703114
334,27360,-1039.6085690790653
335,27742,-1032.208264084921
336,27764,-1024.4393000999944
337,27909,-1035.0001957936558
338,27986,-1038.0833969238658
339,28066,-1037.5989115694101
340,28177,-1038.2100664515845
341,28278,-1037.2980689260357
342,28410,-1035.3266501403748
343,28527,-1036.1755408844379
344,28711,-1033.191637449803
345,28761,-1039.2006221208492
346,28815,-1039.1307677748298
347,28925,-1035.8089859183108
348,28956,-1032.14453412677
349,29046,-1038.9620865239265
350,29104,-1039.9806984612655
351,29176,-1040.2000915183573
352,29279,-1037.2544827365869
353,29304,-1027.5022787026987
354,29338,-1033.508600889809
355,29373,-1033.8427960344288
356,29395,-1024.9015351809398
357,29895,-0.096679667745492
358,29970,-1039.851956657132
359,29991,-1023.649937385561
360,30166,-1033.400265616143
361,30287,-1035.5104466000953
362,30361,-1039.4347200175666
363,30416,-1040.400056605587
364,30521,-1036.4066031189247
365,30626,-1037.5951004166832
366,30667,-1035.7756981114276
367,31167,-0.09563014164031468
368,31209,-1037.8136168519097
369,31298,-1039.1752484239837
370,31359,-1040.8452239889605
371,31413,-1041.1794271398117
372,31675,-1032.4784546058831
373,31699,-1025.8936785785945
374,31738,-1036.6757581659474
375,31836,-1038.5516463570925
376,31970,-1036.027392778659
377,32470,-1.3236326564152405
378,32574,-1036.5201848444433
379,32622,-1038.4415625595018
380,32659,-1034.55495645149
381,32762,-1038.3364299487848
382,32886,-1036.0286347400872
383,32989,-1039.989980980263
384,33008,-1022.0271557548195
385,33237,-1032.5302624825877
386,33408,-1035.461663095495
387,33463,-1041.5891975351255
388,33674,-1034.7652508141025
389,33796,-1037.3827495179535
390,33834,-1034.5700349398626
391,33949,-1037.898235329575
392,34010,-1040.422554201879
393,34078,-1040.3471141406326
394,34205,-1035.7441027186364
395,34335,-1036.2082136604624
396,34455,-1035.4407743442152
397,34485,-1030.9409620074516
398,34985,-0.09763262128008068
399,35354,-1038.5319016753533
400,35464,-1037.966049575591
401,35605,-1036.8457637312242
402,35675,-1042.9685656665768
403,35747,-1040.8682924013754
404,35828,-1039.9216885173162
405,35944,-1037.1575504422665
406,36023,-1042.5969226248412
407,36064,-1036.4680696570495
408,36104,-1037.67898762869
409,36175,-1041.31150010378
410,36214,-1036.294261215301
411,36714,-0.10115263803948564
412,36911,-1032.3216038414225
413,36960,-1039.6925974821286
414,37060,-1038.6463831727385
415,37169,-1037.6708372492376
416,37238,-1041.4581293733095
417,37333,-1039.2782739985548
418,37359,-1028.047424034131
419,37453,-1039.3741609601952
420,37487,-1032.959849164701
421,37552,-1040.0602167183183
422,37578,-1027.9458225475246
423,37659,-1043.2380516281135
424,37682,-1025.8682291270948
425,37747,-1040.2064690681061
426,38247,-0.10958995698616988
427,38295,-1039.3869836616404
428,38332,-1036.5501170923997
429,38832,-0.5000103861322861
430,38854,-1025.4188092381626
431,38932,-1045.572028320732
432,38977,-1037.195302319598
433,39172,-1046.5392632221058
434,39196,-1027.2603806234017
435,39255,-1040.9773051233396
436,39464,-1107.278120889997
437,39480,-1018.6454591327009
438,39700,-1068.2475749900977
439,39776,-1041.50358195758
440,40276,-0.13970904987895447
441,40343,-1039.252554050331
442,40390,-1038.7584894796169
443,40550,-1032.7116153548404
444,40685,-1117.4556748635164
445,40752,-1040.8761143425513
446,41136,-1095.0851855356711
447,41301,-1057.3263864076919
448,41379,-1040.1794351762294
449,41600,-1097.848755163866
450,41658,-1042.4710210520714
451,42158,-0.15563930673847656
452,42403,-1099.4531578242647
453,42547,-1040.1551765041402
454,42566,-1022.0865968824506
455,42622,-1045.0016261539172
456,42711,-1031.6351678098454
457,43211,-84.60116199311
458,43416,-1103.5762969757845
459,43654,-1095.6801823534133
460,43677,-1025.8144449736342
461,43897,-1049.3883999063517
462,43938,-1039.9607671528033
463,44034,-1033.2594377496064
464,44067,-1033.682652357638
465,44567,-0.09196769970889795
466,44596,-1031.5837722815409
467,44619,-1025.7874764416945
468,45119,-4.091296296485334
469,45619,-0.2331822365098903
470,45761,-1050.602981024267
471,45919,-1115.183699185982
472,46062,-1052.678173004221
473,46207,-1038.373158157901
474,46513,-1101.3570013961862
475,46607,-1028.7116931978044
476,46758,-1061.5678821191132
477,46853,-1033.5662735327646
478,47353,-6.931089960471085
479,47367,-1016.663564971526
480,47496,-1127.5578230503606
481,47682,-1056.290761551797
482,47888,-1073.2782673278377
483,48125,-1079.9947750867254
484,48625,-0.7218136377550121
485,49125,-27.26859851892335
486,49270,-1051.287020493189
487,49485,-1106.2107576154867
488,49985,-45.57742117637815
489,50089,-1058.4723050080527
490,50252,-1063.420455554272
491,50388,-1110.2046151190402
492,50888,-0.3140639815163314
493,51063,-1115.9575141659905
494,51563,-13.06813740551429
495,51661,-1073.072325314882
496,52161,-4.516917803425414
497,52661,-0.2435887233562506
498,52809,-1112.9910851749953
499,53309,-6.625246924081471
500,53809,-17.83783303776201
501,54309,-16.779496924441705
502,54809,-4.439182058230656
503,55309,-3.488547085403587
504,55407,-1040.6808905579155
505,55579,-1073.3427607295625
506,55597,-1021.2263939919692
507,56097,-6.750859139357484
508,56597,-26.333931524894297
509,57097,-6.355698321346216
510,57597,-27.895738321020747
511,58097,-17.774141615198424
512,58353,-1098.9701287751475
513,58853,-0.8101820352119943
514,58992,-1060.9910140443003
515,59492,-0.42093729170779826
516,59937,-1076.8973925347793
517,60437,-6.637692818981484
518,60937,-1.5518475813432946
519,61437,-2.161890852897728
520,61937,-21.04252902341361
521,62437,-8.007762176465764
522,62937,-1.411532048840613
523,63437,-4.508323988119915
524,63585,-1074.1919587551185
525,63746,-1080.3079065405338
526,64246,-0.43178318201992566
527,64349,-1076.1274556300166
528,64849,-0.530591994835492
529,65349,-1.708663765532888
530,65849,-0.11921396751570144
531,66012,-1073.6709327717508
532,66092,-1072.387830383115
533,66118,-1028.6244750430633
534,66618,-10.3594061384853
535,67118,-0.33526488653172265
536,67380,-1067.4201082665325
537,67880,-17.804919257349198
538,68380,-5.6721225498293135
539,68880,-1.8791416831833305
540,68899,-1021.7606041746694
541,69399,-16.072381262958185
542,69899,-0.06117052991114619
543,70399,-20.568875971571337
544,70568,-1054.7248712749424
545,70694,-1046.708207262786
546,70894,-1072.062575968697
547,71059,-1109.6711579132043
548,71559,-1.2193804247657503
549,72059,-6.404229381875064
550,72559,-9.726688779686222
551,73059,-2.4035866564886526
552,73559,-8.81963718998377
553,74059,-3.6226855268391662
554,74559,-0.23825969404882544
555,74693,-1110.6137526171124
556,75193,-1.7496498590042981
557,75693,-9.10963931160118
558,76193,-24.98089946557908
559,76428,-1105.0214350742226
560,76928,-5.489651389069179
561,77428,-0.8765323911739376
562,77530,-1109.1943511163681
563,78030,-3.7417770935519283
564,78530,-3.32996592621832
565,79030,-2.158204365984793
566,79530,-8.168580123091255
567,80030,-4.15300355134559
568,80530,-5.748155672190108
569,81030,-4.81259265759937
570,81530,-19.400379161637364
571,82030,-6.1528890776144385
572,82530,-17.858790065751535
573,83030,-5.7376223207225525
574,83530,-8.893705249650395
575,83535,-1006.0781621593368
576,84035,-3.0712516400068086
577,84187,-1097.293092069762
578,84687,-23.190550959613233
579,85187,-20.946516577634664
580,85687,-0.39872346436320855
581,86187,-0.07657654485380579
582,86466,-1070.2440070007185
583,86966,-0.3425210722309469
584,87466,-1.8184838581566902
585,87479,-1015.6097253513573
586,87582,-1093.5301103470306
587,87720,-1099.9923158848205
588,88220,-18.551350175654157
589,88720,-8.114463736317669
590,89220,-7.870600722795679
591,89720,-2.9959930141756748
592,89879,-1115.2795585566291
593,90157,-1071.806433739838
594,90268,-1095.9908757731953
595,90768,-3.1191750956599402
596,91268,-12.44147774229577
597,91768,-26.026907376467214
598,92268,-9.024630701254457
599,92768,-11.68653107330706
600,93268,-1.7312298321928963
601,93768,-4.056715907875707
602,94268,-1.130335279921565
603,94412,-1072.8569000538964
604,94912,-2.959750360175681
605,95412,-6.099580925740464
606,95912,-7.221686906087145
607,96412,-0.23508478674579875
608,96524,-1081.8009830387657
609,96704,-1074.8728792677541
610,97204,-6.464999809906298
611,97325,-1080.2673443377769
612,97825,-16.64604030254037
613,97834,-1010.8702894911577
614,98334,-6.3840695135388605
615,98834,-0.2796557014967319
616,99334,-1.0205836597027989
617,99493,-1066.6940428366593
618,99703,-1059.5455811678937
619,100203,-1.6288190916579057
620,100703,-14.870006509683892
621,101203,-11.244971665657012
622,101317,-1092.8734237447109
623,101817,-0.9704340299395855
624,102317,-0.7335139568194983
625,102817,-6.717224837038473
626,103317,-1.1797913817044927
627,103380,-1072.020196987086
628,103880,-1.1749149931094383
629,104380,-13.39451911509028
630,104880,-5.791907887809436
631,105380,-24.572903485612215
632,105880,-0.6738861588063749
633,106380,-3.5419812878236945
634,106880,-6.6098113938393155
635,107380,-1.436624109167573
636,107815,-1059.8482942443375
637,108315,-10.815831396686185
638,108465,-1081.3031690512312
639,108965,-10.4895007968345
640,109465,-2.2338061355881464
641,109965,-4.659783477766967
642,110465,-1.4955301123357674
643,110586,-1091.4110290152971
644,110678,-1079.7271328959011
645,111178,-4.029086678076922
646,111678,-12.640486590660851
647,112178,-0.30405907944189536
648,112678,-12.51178618354517
649,113178,-26.046450047522214
650,113678,-1.3806408649362434
651,114178,-6.409972895452936
652,114584,-1075.2926137960435
653,115084,-6.714190976807159
654,115584,-11.064328795677527
655,116084,-1.049011179265971
656,116224,-1104.568244244111
657,116724,-0.42501513972213384
658,117224,-6.648565243609605
659,117724,-2.910228596198253
660,118224,-0.24635671626216324
661,118412,-1105.2617402352578
662,118912,-1.492553234081826
663,119412,-12.615960796259671
664,119912,-18.37217730281723
665,120412,-2.156734836380359
666,120912,-12.71682259402271
667,121412,-9.105882376182857
668,121912,-6.46813046285599
669,122412,-5.7560128902672885
670,122912,-1.360045485745656
671,123068,-1105.05637124463
672,123568,-8.524802258095074
673,123828,-1085.187669831807
674,124328,-12.11183277709132
675,124828,-2.1646079515478993
676,125328,-8.074862791397026
677,125562,-1096.4353708696408
678,125692,-1106.9762625974552
679,125964,-1096.663176022696
680,126464,-1.2235049288261797
681,126964,-5.031499328922693
682,127464,-0.5287373845706675
683,127582,-1113.3169361581456
684,128082,-15.453726500824754
685,128582,-37.24592198816272
686,129082,-7.592527711132524
687,129582,-1.9340542036439632
688,130082,-5.708757274793648
689,130582,-2.0677922608942523
690,131082,-10.045464040020347
691,131352,-1083.6479014440993
692,131665,-1089.6248306712944
693,132165,-2.486897701484476
694,132665,-2.010548809070161
695,133165,-29.082680975351852
696,133665,-7.121192502604413
697,134165,-1.741064282632302
698,134665,-15.263686988116993
699,135165,-1.4123837176831875
700,135665,-0.9663044373451222
701,136165,-0.9149749346524494
702,136665,-1.4642209053356263
703,137165,-10.855080153087096
704,137665,-1.4848234665461058
705,138165,-1.1475874501063084
706,138665,-7.6965996057702855
707,138870,-1074.5191264628806
708,139370,-1.1666419639953312
709,139870,-2.582907028745457
710,140031,-1069.6144006643383
