episode,timestep,reward
13,1000,-1000.6659
27,2000,-1000.6968
43,3000,-1000.6203
54,4000,-1000.729
67,5000,-1000.6782
78,6000,-1000.6663
87,7000,-1000.687
102,8000,-1000.5681
112,9000,-1000.6317
117,10000,-800.8814
120,11000,-667.5464
124,12000,-1000.9359
129,13000,-800.7095
134,14000,-800.9035
138,15000,-500.8066
140,16000,-0.9271
143,17000,-667.6713
148,18000,-801.0588
150,19000,-500.884
153,20000,-334.3392
157,21000,-500.9724
159,22000,-1.6012
163,23000,-501.0898
165,24000,-2.6603
168,25000,-668.4653
171,26000,-335.0424
173,27000,-1.3979
175,28000,-1.2386
177,29000,-501.0645
181,30000,-500.9957
184,31000,-667.9533
187,32000,-667.7798
189,33000,-0.9534
191,34000,-1.221
194,35000,-334.0977
196,36000,-500.8848
199,37000,-334.1843
201,38000,-0.7166
203,39000,-0.8186
205,40000,-0.8458
207,41000,-0.7348
209,42000,-0.5437
212,43000,-334.0159
215,44000,-334.0858
217,45000,-0.5906
219,46000,-0.5493
221,47000,-0.4738
224,48000,-667.4413
227,49000,-334.1956
229,50000,-0.4816
231,51000,-500.8561
234,52000,-334.095
236,53000,-0.4426
238,54000,-501.0857
240,55000,-0.7424
242,56000,-1.1483
244,57000,-0.502
247,58000,-334.058
249,59000,-0.321
253,60000,-751.233
255,61000,-0.6963
257,62000,-0.7969
259,63000,-0.6792
261,64000,-1.0305
263,65000,-0.6178
265,66000,-0.7627
267,67000,-0.5152
270,68000,-667.6514
273,69000,-334.0681
275,70000,-500.6971
277,71000,-0.5876
279,72000,-0.6591
282,73000,-334.2591
284,74000,-0.6636
286,75000,-500.9066
288,76000,-0.9777
290,77000,-0.7252
292,78000,-0.6993
294,79000,-0.7112
296,80000,-0.3459
298,81000,-0.6715
301,82000,-334.3779
303,83000,-0.4386
305,84000,-0.7331
308,85000,-334.3293
310,86000,-0.6584
312,87000,-0.5394
314,88000,-0.3191
316,89000,-0.2502
318,90000,-0.3367
320,91000,-0.7674
322,92000,-0.8954
324,93000,-0.9877
326,94000,-0.9472
328,95000,-0.5814
330,96000,-501.3512
333,97000,-334.1913
335,98000,-0.3456
337,99000,-0.4292
339,100000,-0.7681
342,101000,-334.2243
344,102000,-0.4675
346,103000,-0.3195
349,104000,-667.6233
351,105000,-0.1556
354,106000,-333.9105
356,107000,-0.5308
358,108000,-0.3198
361,109000,-667.5235
364,110000,-334.0192
366,111000,-0.5457
368,112000,-0.4279
370,113000,-0.3881
372,114000,-0.3014
374,115000,-0.3961
376,116000,-500.8097
379,117000,-333.943
382,118000,-333.9256
384,119000,-500.5157
387,120000,-333.9037
391,121000,-500.7912
393,122000,-500.8104
395,123000,-0.2541
397,124000,-0.3619
399,125000,-0.3017
401,126000,-0.3709
405,127000,-750.8865
408,128000,-333.8262
412,129000,-750.8207
414,130000,-0.3354
416,131000,-500.7786
418,132000,-0.3351
420,133000,-0.2215
423,134000,-333.8757
425,135000,-0.1784
427,136000,-500.7686
429,137000,-0.266
431,138000,-500.7201
435,139000,-500.7578
437,140000,-0.4472
440,141000,-333.9616
442,142000,-0.3451
445,143000,-667.6339
447,144000,-0.2827
450,145000,-667.714
452,146000,-0.3762
454,147000,-0.3565
456,148000,-0.4976
459,149000,-333.9554
461,150000,-0.1693
464,151000,-667.5972
466,152000,-500.6887
468,153000,-0.5184
471,154000,-334.0485
473,155000,-0.4012
476,156000,-667.7506
478,157000,-0.3828
480,158000,-0.3579
482,159000,-0.4189
484,160000,-0.3841
486,161000,-500.768
488,162000,-0.2005
490,163000,-0.2653
493,164000,-667.7151
496,165000,-334.0421
498,166000,-0.5238
500,167000,-500.6965
503,168000,-333.9805
505,169000,-0.4377
508,170000,-334.0919
510,171000,-500.6563
513,172000,-333.9641
515,173000,-0.3855
517,174000,-0.371
519,175000,-0.2786
521,176000,-0.22
523,177000,-0.4306
525,178000,-500.8907
527,179000,-0.5142
529,180000,-0.383
532,181000,-333.9574
534,182000,-0.4445
537,183000,-334.0132
540,184000,-667.6328
542,185000,-0.444
544,186000,-0.5066
546,187000,-0.5418
549,188000,-333.962
552,189000,-333.9359
554,190000,-500.8413
556,191000,-0.33
558,192000,-0.4373
560,193000,-0.543
563,194000,-334.104
565,195000,-0.3429
567,196000,-0.4924
570,197000,-333.9803
572,198000,-500.8543
575,199000,-333.9198
579,200000,-751.0545
