episode,timestep,reward
7,1000,-1001.5413
11,2000,-751.759
17,3000,-1001.3115
23,4000,-1001.4926
27,5000,-751.1078
30,6000,-334.4746
38,7000,-1001.3573
45,8000,-1001.2197
51,9000,-1001.5981
57,10000,-1001.436
64,11000,-1001.3524
69,12000,-1001.4311
73,13000,-751.1143
75,14000,-501.348
80,15000,-601.2409
83,16000,-668.6061
86,17000,-1001.8328
89,18000,-667.6968
92,19000,-334.6543
95,20000,-668.7663
98,21000,-335.6694
100,22000,-1.7067
103,23000,-335.2269
106,24000,-668.6841
109,25000,-335.2661
111,26000,-502.2992
113,27000,-3.304
117,28000,-502.3877
119,29000,-502.613
121,30000,-3.4574
123,31000,-2.128
125,32000,-2.2041
128,33000,-335.1893
130,34000,-1.9341
133,35000,-334.8061
135,36000,-501.4664
137,37000,-1.6783
140,38000,-334.9496
142,39000,-1.2777
144,40000,-1.0686
146,41000,-0.7996
149,42000,-334.2335
152,43000,-333.8758
154,44000,-500.7925
156,45000,-0.9746
159,46000,-334.1906
161,47000,-1.5056
163,48000,-1.1537
165,49000,-0.7653
167,50000,-0.359
170,51000,-334.2199
173,52000,-333.7341
175,53000,-0.719
177,54000,-501.1441
179,55000,-0.5711
182,56000,-334.1607
184,57000,-500.684
187,58000,-333.9363
190,59000,-334.2943
192,60000,-0.3039
197,61000,-800.8103
199,62000,-0.944
202,63000,-668.2845
204,64000,-1.4789
206,65000,-0.7602
208,66000,-1.3775
212,67000,-751.4162
214,68000,-0.2226
216,69000,-0.632
218,70000,-500.9343
220,71000,-0.5544
222,72000,-0.4229
225,73000,-334.0118
228,74000,-667.8243
230,75000,-501.252
233,76000,-334.4289
235,77000,-0.5897
237,78000,-0.4908
239,79000,-0.5384
242,80000,-667.7059
244,81000,-0.4138
246,82000,-500.9767
248,83000,-0.2844
252,84000,-500.9193
254,85000,-500.947
256,86000,-0.8423
259,87000,-334.1904
261,88000,-0.693
263,89000,-0.8354
265,90000,-0.8987
267,91000,-0.6279
269,92000,-0.4933
271,93000,-0.5742
273,94000,-0.6126
275,95000,-501.0122
277,96000,-0.4658
279,97000,-0.4418
282,98000,-334.3655
284,99000,-0.5987
286,100000,-500.8253
288,101000,-0.7522
291,102000,-334.1692
293,103000,-0.7544
295,104000,-0.5117
297,105000,-0.283
300,106000,-333.9321
302,107000,-501.0942
304,108000,-0.8464
306,109000,-0.4604
308,110000,-0.4054
311,111000,-334.1808
313,112000,-500.9099
315,113000,-0.1831
317,114000,-0.7937
319,115000,-0.2873
321,116000,-0.5539
323,117000,-0.5256
325,118000,-0.3282
327,119000,-0.3707
329,120000,-0.6356
332,121000,-334.0002
334,122000,-0.3226
336,123000,-500.6517
340,124000,-500.7857
344,125000,-1001.2416
346,126000,-0.3444
348,127000,-0.6014
350,128000,-0.3612
352,129000,-0.6491
354,130000,-0.2173
357,131000,-334.0188
360,132000,-667.5945
363,133000,-333.8926
366,134000,-334.1033
368,135000,-500.8145
370,136000,-0.326
372,137000,-0.2144
375,138000,-333.8521
377,139000,-500.8942
379,140000,-0.6375
381,141000,-0.3474
384,142000,-334.0801
386,143000,-0.2179
388,144000,-0.5149
390,145000,-0.2835
393,146000,-333.9603
395,147000,-0.3643
397,148000,-500.8728
399,149000,-0.5922
402,150000,-334.2544
404,151000,-0.3439
406,152000,-500.9982
408,153000,-0.2348
410,154000,-0.2901
412,155000,-0.4298
414,156000,-0.7968
416,157000,-0.5559
418,158000,-0.6283
420,159000,-0.8256
422,160000,-0.1867
424,161000,-0.0643
426,162000,-0.271
428,163000,-0.4469
430,164000,-0.6112
432,165000,-0.4668
434,166000,-0.4622
437,167000,-334.2455
439,168000,-0.4089
441,169000,-0.4418
443,170000,-0.3342
446,171000,-667.8494
448,172000,-0.873
450,173000,-0.1445
452,174000,-0.4944
454,175000,-501.3029
456,176000,-0.7938
458,177000,-0.6519
460,178000,-0.1792
462,179000,-0.4472
464,180000,-0.1865
466,181000,-0.5844
468,182000,-501.0054
470,183000,-0.4873
472,184000,-0.6453
474,185000,-0.5564
476,186000,-0.4865
478,187000,-0.8463
480,188000,-0.3327
482,189000,-0.5617
484,190000,-0.7309
486,191000,-0.6869
488,192000,-0.1478
490,193000,-0.541
492,194000,-0.7997
494,195000,-0.3575
496,196000,-0.6489
498,197000,-0.858
500,198000,-0.5329
502,199000,-0.1154
504,200000,-0.2051
