episode,timestep,reward
14,1000,-1000.7142
28,2000,-1000.6737
46,3000,-1000.6025
63,4000,-1000.5394
77,5000,-1000.6458
91,6000,-1000.652
108,7000,-1000.5591
124,8000,-1000.6104
135,9000,-1000.7938
150,10000,-1000.5822
156,11000,-1000.8037
171,12000,-1000.6255
181,13000,-1000.6142
189,14000,-1000.5827
203,15000,-1000.6085
217,16000,-1000.5315
229,17000,-1000.6114
244,18000,-1000.5861
256,19000,-1000.6108
264,20000,-1000.7408
272,21000,-875.5416
287,22000,-1000.4948
298,23000,-1000.6653
302,24000,-500.3249
307,25000,-800.5329
320,26000,-1000.5979
325,27000,-800.5945
328,28000,-667.2817
331,29000,-667.4196
334,30000,-333.6504
337,31000,-333.5725
341,32000,-750.8968
343,33000,-500.5493
348,34000,-600.7606
350,35000,-1.9566
353,36000,-668.0729
357,37000,-750.967
360,38000,-334.4175
362,39000,-2.2186
366,40000,-752.1882
368,41000,-500.627
370,42000,-1.8645
374,43000,-501.579
376,44000,-1.1599
378,45000,-1.8377
381,46000,-668.7384
383,47000,-0.9392
385,48000,-1.6156
387,49000,-500.8632
389,50000,-0.5305
391,51000,-501.0758
393,52000,-0.7057
395,53000,-0.436
398,54000,-334.4439
400,55000,-0.5912
402,56000,-1.0885
404,57000,-1.5044
406,58000,-0.6022
409,59000,-334.3492
411,60000,-501.0916
414,61000,-334.1634
416,62000,-0.5407
418,63000,-501.1285
421,64000,-334.3277
424,65000,-668.104
426,66000,-0.7076
430,67000,-751.1602
432,68000,-501.3782
434,69000,-500.8508
437,70000,-334.8737
439,71000,-1.3883
441,72000,-0.9702
443,73000,-0.944
445,74000,-1.0017
447,75000,-0.5077
449,76000,-0.7397
451,77000,-0.5391
454,78000,-333.9943
456,79000,-501.0938
458,80000,-0.5471
460,81000,-501.0651
463,82000,-334.3441
465,83000,-0.687
468,84000,-667.995
470,85000,-0.4563
472,86000,-1.0747
474,87000,-501.0378
477,88000,-334.2524
480,89000,-667.6269
482,90000,-0.8655
484,91000,-0.6128
486,92000,-0.8042
488,93000,-0.7926
491,94000,-334.2101
493,95000,-500.8199
495,96000,-0.6798
497,97000,-0.4199
499,98000,-0.6448
501,99000,-0.6534
506,100000,-600.8178
508,101000,-0.6977
510,102000,-0.676
512,103000,-0.71
514,104000,-0.52
516,105000,-500.6784
518,106000,-0.4136
520,107000,-500.8465
522,108000,-0.5055
525,109000,-334.0315
528,110000,-333.7846
530,111000,-0.1909
533,112000,-667.6412
535,113000,-0.3888
537,114000,-0.424
540,115000,-333.8615
542,116000,-0.221
546,117000,-750.9669
548,118000,-500.7865
550,119000,-0.4155
552,120000,-0.3313
555,121000,-333.8414
557,122000,-0.3178
560,123000,-333.8924
563,124000,-333.8738
565,125000,-0.2596
567,126000,-0.3199
569,127000,-0.3523
572,128000,-667.4491
575,129000,-333.8246
579,130000,-750.8383
581,131000,-0.1154
583,132000,-500.6907
588,133000,-600.6782
590,134000,-0.4227
594,135000,-750.9256
596,136000,-0.419
598,137000,-0.4863
600,138000,-0.4035
603,139000,-333.8954
605,140000,-0.3542
607,141000,-0.247
611,142000,-750.7928
614,143000,-667.4933
617,144000,-333.7821
619,145000,-0.342
622,146000,-333.9571
624,147000,-0.1525
627,148000,-333.911
629,149000,-0.3835
631,150000,-500.8884
633,151000,-0.2732
635,152000,-0.3872
638,153000,-334.0858
640,154000,-0.4937
643,155000,-333.8601
645,156000,-500.7855
647,157000,-0.3285
650,158000,-334.0192
652,159000,-0.5275
654,160000,-0.6079
656,161000,-500.7787
658,162000,-0.394
661,163000,-333.863
663,164000,-0.3728
665,165000,-0.4333
667,166000,-0.5982
669,167000,-0.4956
672,168000,-333.934
674,169000,-0.5339
676,170000,-0.4883
680,171000,-750.9369
683,172000,-333.9176
685,173000,-0.5723
687,174000,-0.4514
689,175000,-0.4466
692,176000,-667.7241
694,177000,-0.3186
696,178000,-0.5022
698,179000,-0.3664
700,180000,-0.2017
702,181000,-0.1879
704,182000,-0.4067
707,183000,-333.9468
709,184000,-0.1789
713,185000,-750.9446
715,186000,-500.7489
719,187000,-500.7287
721,188000,-500.6398
723,189000,-0.5946
726,190000,-334.0952
729,191000,-333.974
731,192000,-500.6965
734,193000,-333.9927
737,194000,-333.9966
739,195000,-0.3834
741,196000,-0.4411
744,197000,-667.6767
747,198000,-334.0966
749,199000,-500.9096
752,200000,-334.148
